fold,evaluation_year,dimension,regime,model,rows,positives,pr_auc,roc_auc,brier,log_loss,prevalence,ece_10,calibration_slope,calibration_intercept,top_decile_precision,top_decile_lift
eval_2024,2024,sector,Non Life Insurance,logit_state,2699,299,0.24088770804208778,0.6679779821627648,0.09396293135527442,0.3289715964601553,0.11078177102630604,0.029098198469919095,0.8917837831580445,-0.4112957733848529,0.32222222222222224,2.908621330360461
eval_2024,2024,sector,Non Life Insurance,lgbm_price_liquidity,2699,299,0.20200300680437633,0.6414771460423635,0.0957719327606763,0.33640388797784476,0.11078177102630604,0.017542658994471376,0.718948940904553,-0.5134811727238491,0.22962962962962963,2.0728106032453857
eval_2024,2024,sector,Non Life Insurance,lgbm_state,2699,299,0.21886463482211707,0.6810590858416945,0.09430976821079994,0.3284131886917403,0.11078177102630604,0.02414135376720742,0.99393677008892,0.009508982724658912,0.22962962962962963,2.0728106032453857
eval_2024,2024,sector,Others,temporal_tabular,1289,128,0.2997360702273229,0.749966354435831,0.08053428967261954,0.28432477822367186,0.09930178432893716,0.027412371004334107,1.1188253574977736,0.4769928969556529,0.37209302325581395,3.747093023255814
eval_2024,2024,sector,Others,range_persistence,1289,128,0.19722566086741508,0.6195090439276485,0.08870237770585136,0.3196214306415459,0.09930178432893716,0.04621132406034072,0.8128567158652166,-0.7081060572339096,0.26356589147286824,2.6541908914728687
eval_2024,2024,sector,Others,logit_state,1289,128,0.24195621779970528,0.6788059862187769,0.08602244330573194,0.3089519449910371,0.09930178432893716,0.04005226888214303,0.8714720371855368,-0.5988830166284135,0.26356589147286824,2.6541908914728687
eval_2024,2024,sector,Others,lgbm_price_liquidity,1289,128,0.20635341383845365,0.6145766042204996,0.0868707485468368,0.31581953711780036,0.09930178432893716,0.033423693463495094,0.6523290511804835,-0.6894738581576386,0.23255813953488372,2.3419331395348837
eval_2024,2024,sector,Others,lgbm_state,1289,128,0.2207453329559054,0.6437203919035315,0.08512854409051618,0.3061184937445519,0.09930178432893716,0.020050914658643938,0.8757829569518583,-0.31105337605455596,0.3178294573643411,3.200641957364341
eval_2025,2025,market_trend,down,temporal_tabular,25665,2717,0.2798200322860176,0.6912485054462799,0.08785656291742425,0.3124583250500557,0.10586401714397038,0.022552455572638942,1.05966924413501,0.41656469299040355,0.2972341254382548,2.807697397634453
eval_2025,2025,market_trend,down,range_persistence,25665,2717,0.1722022273892363,0.6131663695148186,0.09286386372109043,0.32975626927933166,0.10586401714397038,0.011068819380507064,0.9099058146491995,-0.09710930994176924,0.2168158816660179,2.048060214559569
eval_2025,2025,market_trend,down,logit_state,25665,2717,0.20097708490254393,0.6697104763075424,0.0911554036308069,0.32066158199291966,0.10586401714397038,0.007816721207920943,0.9171301368420727,-0.12833902257865762,0.2500973899493572,2.3624400121642446
eval_2025,2025,market_trend,down,lgbm_price_liquidity,25665,2717,0.21981114031295923,0.6545492845548806,0.09057231938838402,0.3215252606356027,0.10586401714397038,0.012224963259841013,0.9114454889694021,-0.06649717036066062,0.24308531359563693,2.2962033763091725
eval_2025,2025,market_trend,down,lgbm_state,25665,2717,0.2386562443313889,0.660754509290788,0.089541290590239,0.3182840229617378,0.10586401714397038,0.010488102141248248,0.9876230959386153,0.07758434600730088,0.2477600311647838,2.3403611335458874
eval_2025,2025,market_trend,up,temporal_tabular,28873,3014,0.2583984103320149,0.7086696721100928,0.08670272947545184,0.3055678398562085,0.10438818273127143,0.006220279951351081,1.0595453271506658,0.093108293039956,0.3026315789473684,2.8990980686620333
eval_2025,2025,market_trend,up,range_persistence,28873,3014,0.17211386325335415,0.6232235568353138,0.09165165145412187,0.32565563168484435,0.10438818273127143,0.008091567164897544,0.9477475810140316,-0.03163564034157036,0.21433518005540167,2.053251378148511
eval_2025,2025,market_trend,up,logit_state,28873,3014,0.2227906839296946,0.6824689726043022,0.08875164296890212,0.3138159642774225,0.10438818273127143,0.010122984806637734,0.9960484717178058,-0.10491771034961421,0.2673130193905817,2.5607593924566245
eval_2025,2025,market_trend,up,lgbm_price_liquidity,28873,3014,0.21578547227211797,0.6782573341370727,0.08900458952470106,0.3143331097643885,0.10438818273127143,0.005791360137155261,1.0327991791245628,0.08256880372138382,0.25554016620498615,2.447979833721488
eval_2025,2025,market_trend,up,lgbm_state,28873,3014,0.21398061264835072,0.6766870810009865,0.0890976168079493,0.314868982536741,0.10438818273127143,0.007159270020004258,1.039381192899662,0.03745888035749364,0.25554016620498615,2.447979833721488
eval_2025,2025,market_volatility,high,temporal_tabular,3246,500,0.23526937314381677,0.6273867443554261,0.12937496451049132,0.43058986537683164,0.15403573629081946,0.048668066040197876,0.6858675941223094,-0.18969306713706915,0.26461538461538464,1.7178830769230773
